design,method,predicted_intervention,Chapter 1,Chapter 2,Chapter 3
Quasi-experimental,Fixed effects (incl. DiD),"Implementation of four distinct environmental policies in China: energy-saving goals (ESGs), new energy subsidies (NESs), pollution discharge fees (PDFs), and emission trading schemes (ETSs)",,,
Quasi-experimental,Fixed effects (incl. DiD),"Implementation of the dual-credit policy in China's auto industry, which combines market-based incentives (credit trading with rewards and sanctions) to encourage green innovation.",,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of Photovoltaic Poverty Alleviation Projects (PPAPs) providing access to photovoltaic power plants for poor households,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of high-standard farmland construction policy in China,,,
Quasi-experimental,Fixed effects (incl. DiD),"Market-oriented reform of China's maize purchasing and storage policy (MPSR), which changed the structure and implementation of agricultural subsidies.",,,
Experimental,Randomised controlled trial,"Exposure to three different front-of-package labelling (FOPL) schemes (black octagonal warning labels, magnifying glass high-in single icon, traffic-light labelling) versus control (nutrition facts up front) among adult supermarket shoppers using mock-up product images.",,,
Quasi-experimental,Fixed effects (incl. DiD),"Subsidy policies for new energy vehicles (NEVs) implemented at the prefecture-city level in China, including subsidies for both private sector (EVPV) and public sector (EVPB) NEVs.",,,
Experimental,Randomised controlled trial,"Maternal lipid-based nutrient supplementation initiated either preconceptionally, at 12 weeks gestation, or not at all (control), with the supplementation discontinued at delivery.",,,
Quasi-experimental,Fixed effects (incl. DiD),Construction of the Belo Monte hydropower dam in the Brazilian Amazon,,,
Quasi-experimental,Instrumental variable estimation,Energy sector decarbonization policy packages (more than 75 policy instruments aggregated into seven policy packages) implemented in developing countries,,,
Quasi-experimental,Fixed effects (incl. DiD),Energy-Saving and Emission-Reduction Policy in China,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the energy use rights trading policy in selected Chinese cities,,,
Quasi-experimental,Statistical matching,Participation of low-income farmers in ecological public welfare positions aimed at ecological conservation and poverty alleviation,,,
Quasi-experimental,Fixed effects (incl. DiD),Lesotho Child Grant Program (cash transfer program),,,
Quasi-experimental,Statistical matching,Buffer stock intervention for smallholder farmers in Ghana,,,
Experimental,Randomised controlled trial,Information campaign about negative health effects of solid fuels and about public subsidies for cleaner liquid petroleum gas (LPG).,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of equity incentive programs (measured primarily by vesting period) in China's listed firms,,,
Experimental,Randomised controlled trial,Exposure of participants to virtual representations of urban streets with varying scales and types of green vegetation to assess the emotional effects of different street-level urban green spaces (UGS).,,,
Quasi-experimental,Statistical matching,Renovation Program of Dilapidated Houses in rural China,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Low-Carbon City Pilot Policy at the municipal level in China,,,
Experimental,Randomised controlled trial,"Three types of cookstove dissemination techniques: (1) individual video training, (2) on-site group training, (3) combination of video and group training, each randomly assigned to communities to assess impact on improved cookstove adoption.",,,
Quasi-experimental,Interrupted time series analysis,"Behaviour-centred design (BCD) campaign involving structured observations, co-creative workshops, and card-based choice questionnaires aimed at influencing motivations for adopting improved flame-based cookstoves among low-income South African households.",,,
Experimental,Randomised controlled trial,"Providing sales agents with a tablet loaded either with an application to deliver accurate solar product information or only the basic sales catalogue, randomly assigned.",,,
Quasi-experimental,Instrumental variable estimation,"Implementation of various renewable energy policy instruments (quotas with certificate trading, tendering, investment tax credits, capital subsidies, sales-related tax reductions, and renewable energy targets) to support renewable energy capacity expansion",,,
Quasi-experimental,Regression discontinuity design,"Reduction in regulated retail price of electricity through the implementation of a residential summer tariff in Monterrey, Mexico",,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China's National Sustainable Development Experimental Zone Policy,,,
Experimental,Randomised controlled trial,Provision of information to villages about the negative health effects of cooking with solid fuels and about public subsidies for cleaner liquid petroleum gas (LPG),,,
Experimental,Randomised controlled trial,Mothers in the intervention group received counseling on healthy eating practices for 1 year postpartum; the control group received no counseling.,,,
Quasi-experimental,Statistical matching,"Multi-sectoral nutrition-sensitive intervention program, with varying intensity (number of interventions participated in) among rural households across seven countries",,,
Quasi-experimental,Fixed effects (incl. DiD),Provincial-level variation in green finance policies/instruments over time,,,
Quasi-experimental,Fixed effects (incl. DiD),Large-scale school meal program in rural China,,,
Experimental,Randomised controlled trial,"Nutrition education only, supplementation only, nutrition education plus supplementation, and a control (no intervention) among school-age children in randomly selected schools in helminth endemic areas in Ghana.",,,
Quasi-experimental,Difference-in-differences (Fixed effects incl. DiD),China's carbon trading policy (CCTP) implemented as a market-incentive-based environmental regulation,,,
Quasi-experimental,Synthetic control,Antitrust sanctions imposed on industries for monopolistic practices,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the National Integrated Circuit Industry Investment Fund aimed at supporting technological innovation in China's integrated circuit industry,,,
Quasi-experimental,Fixed effects (incl. DiD),Philippines’ Conditional Cash Transfer Program,,,
Quasi-experimental,Interrupted time series analysis,Replacement of staple food subsidies with unconditional cash transfer program,,,
Experimental,Randomised controlled trial,"Long-term educational intervention by telephone focused on self-efficacy and motivational interviewing, delivered at multiple postpartum periods (7, 30, 90, 150 days)",,,
Quasi-experimental,Fixed effects (incl. DiD),Phased rollout of electric vehicle purchase subsidies in China,,,
Experimental,Randomised controlled trial,"A universal, multicomponent, skill-targeted social and emotional learning (SEL) curriculum (Five-Component SEL, 5CSEL) embedded in nonformal remedial education programming for Syrian refugee children",,,
