design,method,intervention
Quasi-experimental,Fixed effects (incl. DiD),Expansion of rural land transfer area across Chinese provinces
Quasi-experimental,Fixed effects (incl. DiD),Urban construction land use development strategies and their alignment with economic growth
Quasi-experimental,Fixed effects (incl. DiD),Implementation of sustainable agriculture demonstration zones policy in 2018
Experimental,Randomised controlled trial,12-week strength-based 'Humor A B C' program for left-behind children
Quasi-experimental,Fixed effects (incl. DiD),Increased environmental regulation in Chinese cities
Quasi-experimental,Instrumental variable estimation,Increase in foreign direct investment into Chinese prefecture-level cities
Quasi-experimental,Fixed effects (incl. DiD),Expansion of digital financial inclusion services to residents
Quasi-experimental,Fixed effects (incl. DiD),Implementation of government environmental audits at the provincial level
Quasi-experimental,Fixed effects (incl. DiD),Establishment of green finance reform and innovation pilot zones
Quasi-experimental,Difference-in-Differences,Implementation of green credit policy restricting polluting firms' access to bank credit
Quasi-experimental,Fixed effects (incl. DiD),Expansion of digital finance services across Chinese cities
Quasi-experimental,Statistical matching,Universal unconditional mobile cash transfers provided by a foreign NGO
Quasi-experimental,Regression discontinuity design,Extension of paid maternity leave from four to six months in Vietnam
Quasi-experimental,Fixed effects (incl. DiD),Implementation of a carbon emissions trading policy in Chongqing
Quasi-experimental,Fixed effects (incl. DiD),Establishment of the Guangdong Pilot Free Trade Zone in 2015
Experimental,Instrumental variable estimation,Encouragement to watch a TV series promoting positive attitudes towards preventing child marriage
Experimental,Randomised controlled trial,Price subsidies for LPG cylinder refills offered to low-income rural households
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Major Grain-Producing Areas (MGPA) policy in China
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China's Two Control Zones (TCZ) environmental policy after 1998
Qualitative,Other,Support for border municipalities providing healthcare to economic migrants
Quasi-experimental,Fixed effects (incl. DiD),Introduction of high-speed rail services to Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Analysis of fiscal decentralization and intergovernmental competition on local debt risk
Experimental,Randomised controlled trial,Hygiene promotion delivered to households in refugee camps
Quasi-experimental,Fixed effects (incl. DiD),Supreme Court ruling enforcing title-based property division for pre-marital housing
Quasi-experimental,Fixed effects (incl. DiD),Implementation of energy-consuming right trading policy in Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Implementation of stricter environmental regulations for heavy-polluting firms
Experimental,Randomised controlled trial,Teacher professional development on reading strategies for migrant school teachers
Quasi-experimental,Synthetic control,Mandating open data policy for journal authors
Quasi-experimental,Fixed effects (incl. DiD),Implementation of environmental 'fee-to-tax' policy in China
Quasi-experimental,Regression discontinuity design,Implementation of regional policies affecting economic growth in targeted Chinese regions
Quasi-experimental,Fixed effects (incl. DiD),Implementation of stricter environmental regulation policies in Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Implementation of a regional Emission Trading Scheme on selected pilot firms
Quasi-experimental,Fixed effects (incl. DiD),Implementation of environmental regulation in Chinese prefecture-level cities
Quasi-experimental,Difference-in-Differences,Implementation of Green Credit Guidelines for heavily polluting Chinese enterprises
Quasi-experimental,Fixed effects (incl. DiD),Implementation of a daily penalty policy for environmental violations in select Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Government subsidies to renewable energy enterprises
Quasi-experimental,Instrumental variable estimation,Provision of energy subsidies to Bangladeshi households
Quasi-experimental,Fixed effects (incl. DiD),Implementation of New Accounting Standards for listed companies in 2007
Quasi-experimental,Fixed effects (incl. DiD),Encouragement of part-time farming among rural households
Quasi-experimental,Fixed effects (incl. DiD),Introduction of short selling mechanisms for select Chinese listed firms
Experimental,Randomised controlled trial,Provision of alcohol-based hand rub and training to pregnant women for postnatal use
Quasi-experimental,Statistical matching,Provision of access to finance and communal infrastructure rehabilitation post-tsunami
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China's innovative city pilot policy in selected cities
Quasi-experimental,Fixed effects (incl. DiD),Implementation of low-carbon city pilot policy in selected Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Establishment of development zones in Chinese cities
Experimental,Randomised controlled trial,Tax bills featuring public works benefiting children sent to delinquent taxpayers
Quasi-experimental,Fixed effects (incl. DiD),Implementation of carbon market pilot programs in selected Chinese cities
Experimental,Randomised controlled trial,Communication training program for mothers to improve spousal dialogue
Experimental,Randomised controlled trial,Provision of modern seed varieties to small farmers in remote Congo Basin areas
Quasi-experimental,Regression discontinuity design,Granting resident visas to undocumented Venezuelan migrants in Colombia
Experimental,Randomised controlled trial,Year-long unconditional cash transfers to Syrian refugee households in Lebanon
Experimental,Randomised controlled trial,Deliberative multi-stakeholder workshop with a community scorecard exercise in schools
Experimental,Randomised controlled trial,Public works employment allocated via random lottery among eligible participants
Quasi-experimental,Instrumental variable estimation,Certification for mango farmers to encourage climate-smart agricultural practices
Quasi-experimental,Fixed effects (incl. DiD),Implementation of Smart City construction policies in selected Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Introduction of a fee on high order-to-trade ratios in stock trading
Quasi-experimental,Instrumental variable estimation,Participation in ENABLE-TAAT agripreneurship empowerment training programme
Quasi-experimental,Synthetic control,World Bank restrictions on oil revenue management in Chad–Cameroon pipeline project
Quasi-experimental,Instrumental variable estimation,Provision of Chinese aid projects in sub-Saharan African countries
Quasi-experimental,Statistical matching,Establishment of restrictive and less restrictive protected areas in Mexico
Quasi-experimental,Statistical matching,Rural electrification program targeting localities with over 500 inhabitants
Quasi-experimental,Statistical matching,Wage subsidy program for jobseekers in Bosnia and Herzegovina
